District,Constituency,Polling Station,Total,Male,Female,PDF Link
ROHTAK,60-MEHAM,SINGHPURA KALAN,1606,856,750,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600196.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600197.PDF"
ROHTAK,60-MEHAM,KASBA MEHAM,11011,5851,5160,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600074.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600075.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600076.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600077.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600078.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600079.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600080.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600081.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600082.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600083.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600084.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600085.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600086.PDF"
ROHTAK,60-MEHAM,BAINSI,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600049.PDF
ROHTAK,60-MEHAM,SEEMAN,6265,3425,2840,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600002.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600003.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600004.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600005.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600006.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600007.PDF"
ROHTAK,60-MEHAM,SEKHPUR TITRI,490,245,245,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600093.PDF
ROHTAK,60-MEHAM,BHAINI BHAIRON,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600143.PDF
ROHTAK,60-MEHAM,MADINA KORSAN,5034,2730,2304,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600130.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600131.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600132.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600133.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600134.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600135.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600136.PDF"
ROHTAK,60-MEHAM,BHAINI CHANDERPAL,4374,2422,1952,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600060.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600061.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600062.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600063.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600064.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600092.PDF"
ROHTAK,60-MEHAM,SAMARGOPALPUR,4443,2421,2022,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600117.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600118.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600119.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600120.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600121.PDF"
ROHTAK,60-MEHAM,BHAINI MAHARAJPUR,1994,1076,918,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600071.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600072.PDF"
