District,Constituency,Polling Station,Total,Male,Female,PDF Link
JIND,34-JULANA,PADANA,2122,1146,976,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340059.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340060.PDF"
JIND,34-JULANA,RAMKALI,1712,958,754,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340093.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340094.PDF"
JIND,34-JULANA,BUDHA KHERA LATHER,2996,1617,1379,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340148.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340149.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340150.PDF"
JIND,34-JULANA,BAGANWALA,292,158,134,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340011.PDF
JIND,34-JULANA,SHAMLO KHURD,1408,774,634,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340061.PDF
JIND,34-JULANA,BAROLI,1766,963,803,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340028.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340029.PDF"
JIND,34-JULANA,BUWANA,3262,1742,1520,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340077.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340078.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340079.PDF"
JIND,34-JULANA,BISHANPURA,1821,962,859,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340023.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340024.PDF"
JIND,34-JULANA,BRAH KALAN,2410,1302,1108,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340040.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340041.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340042.PDF"
JIND,34-JULANA,RAJGARH,892,485,407,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340126.PDF
JIND,34-JULANA,GARHWALI,1782,981,801,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340108.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340109.PDF"
JIND,34-JULANA,BURA DEHAR,1002,545,457,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340104.PDF
JIND,34-JULANA,KHERA BAKHTA,1681,911,770,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340127.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340128.PDF"
JIND,34-JULANA,JULANA,11313,6138,5175,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340135.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340136.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340137.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340138.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340139.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340140.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340141.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340142.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340143.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340144.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340145.PDF"
JIND,34-JULANA,CHABRI,1135,626,509,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340052.PDF
JIND,34-JULANA,GHIMANA KI BASTI KARAMGARH,449,237,212,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340018.PDF
