District,Constituency,Polling Station,Total,Male,Female,PDF Link
FARIDABAD,85-PRITHLA,MOHNA,6712,3645,3067,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850095.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850096.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850097.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850098.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850099.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850100.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850101.PDF"
FARIDABAD,85-PRITHLA,NAVADATIGAON,1905,1024,881,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850018.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850019.PDF"
FARIDABAD,85-PRITHLA,PANHERAKHURD,2345,1260,1085,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850080.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850081.PDF"
FARIDABAD,85-PRITHLA,PYALA,2908,1625,1283,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850066.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850067.PDF"
FARIDABAD,85-PRITHLA,SIKANDARPUR,1200,642,558,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850130.PDF
FARIDABAD,85-PRITHLA,SOTAI,2363,1284,1079,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850043.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850044.PDF"
FARIDABAD,85-PRITHLA,SAHUPURA,3702,1971,1731,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850012.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850013.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850029.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850030.PDF"
FARIDABAD,85-PRITHLA,KAILGAON,784,442,342,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850010.PDF
FARIDABAD,85-PRITHLA,MANDKAUL,2054,1092,962,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850139.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850140.PDF"
FARIDABAD,85-PRITHLA,CHANDAWALI,3555,1914,1641,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850014.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850015.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850016.PDF"
FARIDABAD,85-PRITHLA,NANGLA JOGIYAAN,1204,660,544,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850054.PDF
FARIDABAD,85-PRITHLA,BUKHARPUR,1610,859,751,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850020.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850021.PDF"
FARIDABAD,85-PRITHLA,TATARPUR,680,377,303,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850117.PDF
FARIDABAD,85-PRITHLA,KATESRA,930,508,422,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB85/CMB0850149.PDF
