District,Constituency,Polling Station,Total,Male,Female,PDF Link
BHIWANI,54-LOHARU,PAJU,1626,848,778,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540149.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540150.PDF"
BHIWANI,54-LOHARU,FARTIYA TAL,900,479,421,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540207.PDF
BHIWANI,54-LOHARU,GHANGHALA,1623,868,755,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540051.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540052.PDF"
BHIWANI,54-LOHARU,DHIGHAWA Lachhman,634,331,303,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540157.PDF
BHIWANI,54-LOHARU,GIGNAU,1555,806,749,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540182.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540183.PDF"
BHIWANI,54-LOHARU,DEVSAR,645,335,310,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540017.PDF
BHIWANI,54-LOHARU,LOHARU,8150,4327,3823,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540187.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540188.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540189.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540190.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540191.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540192.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540193.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540194.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540195.PDF"
BHIWANI,54-LOHARU,GUDHA,2105,1166,939,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540062.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540063.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540064.PDF"
BHIWANI,54-LOHARU,MATANI,1686,906,780,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540071.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540072.PDF"
BHIWANI,54-LOHARU,DHANI SILAWALI,1019,558,461,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540041.PDF
BHIWANI,54-LOHARU,KUDAL,2986,1617,1369,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540137.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540138.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540139.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540141.PDF"
BHIWANI,54-LOHARU,SORDA JADID,594,309,285,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540124.PDF
BHIWANI,54-LOHARU,SUDHIWAS,878,475,403,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540120.PDF
BHIWANI,54-LOHARU,GAGADWAS,1093,588,505,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540201.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540202.PDF"
BHIWANI,54-LOHARU,DHANI SHAYAMA,574,313,261,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540205.PDF
BHIWANI,54-LOHARU,PAHARI,2335,1244,1091,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540162.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540163.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540164.PDF"
BHIWANI,54-LOHARU,DHIGHAWA SHAMIYAN,964,511,453,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540158.PDF
BHIWANI,54-LOHARU,MOHAMMAD NAGAR,477,246,231,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540144.PDF
BHIWANI,54-LOHARU,AHMADWAS,986,516,470,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540209.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540210.PDF"
BHIWANI,54-LOHARU,KASNI KHURD,706,368,338,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540103.PDF
BHIWANI,54-LOHARU,NALOI,2187,1168,1019,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540002.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540003.PDF"
BHIWANI,54-LOHARU,BISALWAS,1432,761,671,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540199.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540200.PDF"
BHIWANI,54-LOHARU,DHIGHAWA JATAN,2671,1436,1235,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540154.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540155.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540156.PDF"
BHIWANI,54-LOHARU,DHANI DHOLA,812,406,406,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540208.PDF
BHIWANI,54-LOHARU,AMIRWAS,420,210,210,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540130.PDF
BHIWANI,54-LOHARU,KURAL WAS,1211,645,566,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540140.PDF
BHIWANI,54-LOHARU,BIDHNOI,2023,1075,948,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540110.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540111.PDF"
BHIWANI,54-LOHARU,BHAKHTAWAPUR,919,497,422,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540038.PDF
BHIWANI,54-LOHARU,GADHWA,695,372,323,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540050.PDF
BHIWANI,54-LOHARU,JHANJHRA TODA,1027,551,476,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540176.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540181.PDF"
BHIWANI,54-LOHARU,DHANI MANSUKH,438,228,210,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540186.PDF
BHIWANI,54-LOHARU,KHERA,1516,793,723,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540035.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540036.PDF"
BHIWANI,54-LOHARU,SHER PURA MAJRA MOHILA,452,233,219,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540047.PDF
BHIWANI,54-LOHARU,dhani samsawad majra SOHANSARA,598,318,280,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540215.PDF
BHIWANI,54-LOHARU,MANDHOLI KALAN,2981,1609,1372,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540077.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540078.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540079.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540080.PDF"
BHIWANI,54-LOHARU,KALALI,1112,587,525,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540068.PDF
BHIWANI,54-LOHARU,KUSHALPURA,808,434,374,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540184.PDF
BHIWANI,54-LOHARU,ALAUDIN PUR,1707,916,791,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540142.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540143.PDF"
BHIWANI,54-LOHARU,GARWA,2051,1084,967,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540096.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540097.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540098.PDF"
BHIWANI,54-LOHARU,OBRA,1371,723,648,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540107.PDF
BHIWANI,54-LOHARU,SURPURA KALAN,1694,894,800,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540088.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540089.PDF"
BHIWANI,54-LOHARU,BAHRALU,1497,787,710,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540167.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540168.PDF"
BHIWANI,54-LOHARU,SOHANSARA,3682,1967,1715,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540211.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540212.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540213.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540214.PDF"
BHIWANI,54-LOHARU,NAKIPUR,1518,799,719,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540152.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540153.PDF"
BHIWANI,54-LOHARU,DHULKOT,784,433,351,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540033.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540034.PDF"
BHIWANI,54-LOHARU,DAMKAURA,1134,601,533,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540177.PDF
BHIWANI,54-LOHARU,BITAN,859,453,406,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540128.PDF
